"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006958","complement activation, classical pathway","3/53","17/11438",6.10196259540579e-05,0.0131135915261441,0.0112217784358522,"C3/LOC113984271/LOC113992168",3
"GO:0006805","xenobiotic metabolic process","4/53","52/11438",9.43423850801737e-05,0.0131135915261441,0.0112217784358522,"LOC113990605/LOC113990807/LOC113990865/LOC113991532",4
"GO:0006749","glutathione metabolic process","3/53","33/11438",0.000464605736192796,0.0430534648871991,0.0368424197823059,"LOC113990605/LOC113990807/LOC113990865",3
"GO:0006956","complement activation","2/53","17/11438",0.0027403196923593,0.106812349032225,0.0914032218147776,"C3/LOC113992168",2
"GO:0033628","regulation of cell adhesion mediated by integrin","2/53","17/11438",0.0027403196923593,0.106812349032225,0.0914032218147776,"LOC114002160/TESC",2
"GO:0051604","protein maturation","2/53","17/11438",0.0027403196923593,0.106812349032225,0.0914032218147776,"LOC114002160/TESC",2
"GO:0006469","negative regulation of protein kinase activity","3/53","61/11438",0.00279715808149446,0.106812349032225,0.0914032218147776,"EPHA1/LOC114002160/TESC",3
"GO:1901687","glutathione derivative biosynthetic process","2/53","18/11438",0.00307373666279783,0.106812349032225,0.0914032218147776,"LOC113990807/LOC113990865",2
"GO:0007131","reciprocal meiotic recombination","2/53","23/11438",0.00500802325183423,0.15469227377888,0.13237581928825,"RAD51D/SYCE3",2
"GO:0030449","regulation of complement activation","2/53","27/11438",0.00686620420953523,0.190880477025079,0.163343384353154,"C3/LOC113992168",2
"GO:0050776","regulation of immune response","2/53","32/11438",0.00956049086514042,0.215163192575866,0.184122989481809,"C3/CD34",2
"GO:0045766","positive regulation of angiogenesis","3/53","96/11438",0.00991219372498691,0.215163192575866,0.184122989481809,"C3/CD34/EPHA1",3
"GO:0006644","phospholipid metabolic process","2/53","34/11438",0.0107497857889403,0.215163192575866,0.184122989481809,"LCAT/PLA2G4A",2
"GO:0034198","cellular response to amino acid starvation","2/53","38/11438",0.0133129431930077,0.215163192575866,0.184122989481809,"ATF3/DEPDC5",2
"GO:0030097","hemopoiesis","2/53","40/11438",0.0146844178391322,0.215163192575866,0.184122989481809,"CD34/MELK",2
"GO:0071300","cellular response to retinoic acid","2/53","42/11438",0.0161142580430628,0.215163192575866,0.184122989481809,"LOC114002160/TESC",2
"GO:0045087","innate immune response","4/53","218/11438",0.0181485532120594,0.215163192575866,0.184122989481809,"LOC113984271/LOC113992168/LOC114001824/TKFC",4
"GO:0001503","ossification","2/53","53/11438",0.0249708756863113,0.215163192575866,0.184122989481809,"CLEC3B/RASSF2",2
"GO:0008203","cholesterol metabolic process","2/53","54/11438",0.0258554387552217,0.215163192575866,0.184122989481809,"LCAT/NFE2L1",2
"GO:0009653","anatomical structure morphogenesis","2/53","60/11438",0.0314239449960294,0.215163192575866,0.184122989481809,"IGF2BP3/NFE2L1",2
"GO:0010628","positive regulation of gene expression","4/53","260/11438",0.032027869711753,0.215163192575866,0.184122989481809,"CD34/LOC114001824/LOC114002160/TESC",4
"GO:0010951","negative regulation of endopeptidase activity","2/53","63/11438",0.0343702707839753,0.215163192575866,0.184122989481809,"C3/LOC113992168",2
"GO:0050821","protein stabilization","3/53","157/11438",0.0360694263899987,0.215163192575866,0.184122989481809,"LOC114002160/RASSF2/TESC",3
"GO:0008584","male gonad development","2/53","65/11438",0.0363922025522095,0.215163192575866,0.184122989481809,"LOC114002160/TESC",2
"GO:0043087","regulation of GTPase activity","2/53","65/11438",0.0363922025522095,0.215163192575866,0.184122989481809,"EPHA1/FGD3",2
"GO:0043065","positive regulation of apoptotic process","4/53","277/11438",0.0390330748520027,0.215163192575866,0.184122989481809,"FGD3/MELK/RASSF2/SYCE3",4
"GO:0007613","memory","2/53","69/11438",0.0405701577312917,0.215163192575866,0.184122989481809,"LOC113991532/LOC113994845",2
"GO:0000244","spliceosomal tri-snRNP complex assembly","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"USP43",1
"GO:0000731","DNA synthesis involved in DNA repair","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"RFC3",1
"GO:0003094","glomerular filtration","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"CD34",1
"GO:0007130","synaptonemal complex assembly","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"SYCE3",1
"GO:0009268","response to pH","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"LOC113994845",1
"GO:0030195","negative regulation of blood coagulation","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"CD34",1
"GO:0030301","cholesterol transport","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"LCAT",1
"GO:0036148","phosphatidylglycerol acyl-chain remodeling","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"PLA2G4A",1
"GO:0040029","regulation of gene expression, epigenetic","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"KLF2",1
"GO:0043032","positive regulation of macrophage activation","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"PLA2G4A",1
"GO:0043249","erythrocyte maturation","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"KLF2",1
"GO:0045670","regulation of osteoclast differentiation","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"RASSF2",1
"GO:0050482","arachidonic acid secretion","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"PLA2G4A",1
"GO:0071470","cellular response to osmotic stress","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"LOC114001824",1
"GO:0072089","stem cell proliferation","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"CD34",1
"GO:1900264","positive regulation of DNA-directed DNA polymerase activity","1/53","10/11438",0.0453999145295776,0.215163192575866,0.184122989481809,"RFC3",1
"GO:0009313","oligosaccharide catabolic process","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"CTBS",1
"GO:0032688","negative regulation of interferon-beta production","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"LOC114001824",1
"GO:0034375","high-density lipoprotein particle remodeling","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"LCAT",1
"GO:0036499","PERK-mediated unfolded protein response","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"ATF3",1
"GO:0046849","bone remodeling","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"RASSF2",1
"GO:0048872","homeostasis of number of cells","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"RASSF2",1
"GO:0061042","vascular wound healing","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"CD34",1
"GO:0071425","hematopoietic stem cell proliferation","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"CD34",1
"GO:2001214","positive regulation of vasculogenesis","1/53","11/11438",0.0498270937849092,0.215163192575866,0.184122989481809,"CD34",1
"GO:0006954","inflammatory response","3/53","185/11438",0.0541267307019229,0.215163192575866,0.184122989481809,"C3/LOC113992168/LOC114001824",3
"GO:0000722","telomere maintenance via recombination","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"RAD51D",1
"GO:0002064","epithelial cell development","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"LOC114000433",1
"GO:0006271","DNA strand elongation involved in DNA replication","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"RFC3",1
"GO:0006957","complement activation, alternative pathway","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"C3",1
"GO:0007093","mitotic cell cycle checkpoint","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"CHFR",1
"GO:0036150","phosphatidylserine acyl-chain remodeling","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"PLA2G4A",1
"GO:0036152","phosphatidylethanolamine acyl-chain remodeling","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"PLA2G4A",1
"GO:0043011","myeloid dendritic cell differentiation","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"LOC114001824",1
"GO:0043691","reverse cholesterol transport","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"LCAT",1
"GO:0046470","phosphatidylcholine metabolic process","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"LCAT",1
"GO:0097242","amyloid-beta clearance","1/53","12/11438",0.0542341266044944,0.215163192575866,0.184122989481809,"C3",1
"GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","1/53","13/11438",0.0586211029120354,0.215163192575866,0.184122989481809,"MELK",1
"GO:0045019","negative regulation of nitric oxide biosynthetic process","1/53","13/11438",0.0586211029120354,0.215163192575866,0.184122989481809,"CD34",1
